disease,symptom
soy allergy,abdomin blood bodi breath caus conscious diarrhea difficulti dizzi drop eczema face flush hive itch itchi lightheaded lip loss mouth nausea nose pain part pressur puls rapid red runni scali sever shock skin swell throat tingl tongu vomit wheez
respiratory syncytial virus (rsv),bluish breath child color congest cough cyanosi difficulti dri exhal feed fever grade headach heard high irrit lack lethargi lie low mild nois nose oxygen pitch poor prefer rapid runni sever shallow short sit skin sore throat tired unusu usual wheez
tachycardia,breath chest faint flop heart heartbeat irregular lightheaded pain palpit puls race rapid rate sensat short syncop uncomfort
gaucher disease,abdomen abdomin abnorm affect anemia blood bone bruis caus cell clot complaint decreas die diseas disord distend dramat easi enlarg especi fatigu fractur gaucher healthi increas interfer liver noseble pain portion red respons result risk sever skelet spleen suppli weaken
heart failure,abdomen abil alert ankl appetit ascit attack blood breath caus chest concentr cough decreas difficulti dyspnea edema exercis exert failur fatigu feet fluid foami gain heart heartbeat increas irregular lack leg lie mucus nausea need night pain persist phlegm pink rapid reduc retent sever short sudden swell ting urin weak weight wheez white
diabetic hyperosmolar syndrome,blood coma confus convuls decilit dri drowsi excess fever hallucin higher increas level liter loss milligram millimol mmol mouth skin sugar thirst urin vision warm
myocardial ischemia,activ arm breath fast fatigu heartbeat jaw nausea neck pain physic short shoulder sweat vomit
carcinoid syndrome,abdomin accompani appear area asthma breath carcinoid chang chest color cramp diarrhea difficulti episod experi face facial fast feel flush frequent heart heartbeat hot hour lesion like lip longer minut nose occur peopl period pink purpl purplish rang rapid rate short sign skin spiderlik stool symptom syndrom time upper vein wateri wheez
edema,abdomin arm dimpl direct especi increas leg pit press puffi retain second shini size skin stretch swell tissu
hunter syndrome,abdomen abnorm aggress behavior bone broad chronic deep delay develop diarrhea distend enlarg flare growth head hoars intern irregular joint late lip nose nostril organ pebbl protrud resembl result shape size skelet skin stiff stunt talk thicken tongu voic walk white
painful intercourse (dyspareunia),ach burn deep entri hour includ intercours last pain penetr put sexual tampon throb thrust
cervical dystonia,chin ear shoulder straight
lactose intolerance,bloat cramp diarrhea gas nausea stomach vomit
enlarged liver,abdomin eye fatigu jaundic nausea pain skin vomit white yellow
shellfish allergy,abdomin airway atop blood bodi breath congest conscious constrict dermat diarrhea difficult dizzi drop eczema face faint hive itch lightheaded lip loss lump make nasal nausea pain part pressur sever shock swell swollen throat tongu troubl vomit wheez
hypertrophic cardiomyopathy,breath chest detect doctor especi exercis exert faint flutter heart heartbeat listen murmur pain palpit pound rapid sensat short
pseudotumor cerebri,affect blind brief difficulti dizzi doubl episod eye flash head headach heartbeat last light loss nausea neck origin pain puls second see sever shoulder sound vision vomit whoosh
stress incontinence,bend cough exercis heavi laugh lift sex sneez
convergence insufficiency,avoid caus close complet concentr difficulti diplopia doubl eye eyestrain float headach lose page place read rub schoolwork slowli sore squint tire uncomfort vision word
pleurisy,accompani accumul atelectasi breath build call case caus chest collaps complet compress contact cough creat difficult disappear effus empyema extra fair fever fluid infect larg layer lessen longer lung make minim pain partial pleura pleural pleurisi pleurit point pressur pus result rub short small sneez space tissu tri worsen
osteosarcoma,bone break clear injuri joint near pain reason swell
waldenstrom macroglobulinemia,bleed breath bruis chang confus easi fatigu feet fever gum hand headach loss nose numb short vision weight
thrombocytosis,chest dizzi feet hand headach lightheaded numb pain tingl weak
corns and calluses,area ball bear bump callus center corn develop dri especi feet flaki found hard harden heel inflam knee larger pain palm part press rais rare rough shape side size skin smaller sole surround tend tender thick toe top usual vari waxi weight
syringomyelia,arm atrophi curvatur headach leg loss muscl neck pain reflex scoliosi sensit shoulder spinal stiff temperatur wast weak
leukemia,bleed bone bruis chill easi enlarg especi excess fatigu fever frequent infect liver lose lymph night node noseble pain persist petechia recurr red sever skin spleen spot sweat swollen tender tini tri weak weight
cholangiocarcinoma (bile duct cancer),abdomin color eye fatigu intens itchi jaundic loss pain skin stool unintend weight white yellow
vesicoureteral reflux,abdomen amount appetit bed blood bowel burn cloudi constip control fever flank frequent high irrit lack loss movement need pain pass persist pressur protein sensat small strong unexplain urg urin wet
rabies,agit anxieti attempt brought confus difficulti drink excess fear fever fluid hallucin headach hyperact insomnia nausea paralysi partial saliv swallow vomit water
milk allergy,abdomin babi blood breath colic contain cough cramp diarrhea eye feel hive itch lip loos mouth nose runni short stool swell throat tingl tongu vomit wateri wheez
ataxia,button chang coordin difficulti eat eye fine forth involuntari motor movement nystagmus poor shirt speech stumbl swallow task tendenc unsteadi walk write
ebola virus and marburg virus,ach bleed bloodi bruis chest chill close cough death diarrhea ear eye fever headach intern joint loss muscl nausea nose pain possibl rais rash rectum red sever sore stomach throat usual vomit weak weight
bird flu (avian influenza),ach breath cough fever headach muscl short sore throat
raynaud's disease,chang cold color feel finger numb pain prick relief respons skin sting stress toe warm
childhood schizophrenia,abil abnorm academ activ add aggress agit answer appear arm base bath behavior belief bizarr catastroph certain chang childlik comment common communic compar complet confus contact crawl daili delay delus depress development direct disorgan dream dress drop eat effect emot engag everyday exampl except excess exist expect experi express extrem eye facial fals fame famili fear flap focus forc friend function gestur goal hallucin hand harass hard harm head hear hygien idea impact impair inappropri includ infer instruct interest involv irrit known lack languag late like longer loss love major make meaningless meet monoton mood motiv motor movement negat neglect normal occur partial peer peopl perform person pleasur postur put question rare realiti reduc refer resist respons ritual rock salad schizophrenia school see sens show sibl silli situat sleep slip social speak speech stop strang substanc suspicion symptom task televis thing think troubl understood unpredict unrel unusu use useless usual violent visual voic walk want way withdraw word
dehydration,activ black bloodi cheek color confus cri dark diaper diarrhea disori dizzi dri extrem eye fatigu fluid frequent hour irrit listless mouth skull sleepier soft spot stool sunken tear thirst tongu urin usual wet
hiatal hernia,abdomin acid backflow black bleed blood breath chest difficulti esophagus food gastrointestin heartburn indic liquid mouth pain pass reflux regurgit short stomach stool swallow vomit
personality disorders,abandon abus achiev activ admir advantag advic aggress alias anger angri anxieti appear arrog attack attent attract avail avoid behavior belief believ bing broken budget care casual certain chang clingi close closer cold come commit con concern confid consist constant contact control critic cue deceiv decis deleg depend desir detail difficulti disagre disapprov discard discomfort display disregard distress distrust dramat dress dysfunct easili eat embarrass emot empti end enjoy envi ethic event exagger excess expect experi express extrem fact failur fantasi favor fear feel fend finish flat fragil frequent friend gain gambl goe grudg harm have hear hesit hidden hold hostil imag import impuls inabl inadequ inappropri incid indiffer inferior inflex influenc inform inhibit injuri innoc insult intens interest interperson irrespons isol lack law left lie limit littl loyalti magic meant meet messag miser money mood moral motiv need neglect new nonthreaten normal object odd ongo opinion option orderli paranoia partner peculiar peopl perceiv percept perceptu perfect perfection persist person pervas physic pick pleasur poor power prais prefer preoccup problem project provid provoc rang rapid reaction reassur recogn recur recurr reject relat relationship remark remors repeat requir respons result ridicul right rigid riski rule safeti seek self sensit sex sexual shallow shyness situat slight small social speak special speech spend spous standard start steal stranger stress strict strong stubborn submiss success suicid suspici suspicion take taken talent task tendenc think thought threat tight timid toler treatment tri trustworthi unabl unattract unfaith unjustifi unreason unsaf unstabl urgent use valu violat violent voic whisper work worthless
gingivitis,bad bleed breath brush dark duski easili floss gum puffi reced red swollen tender
diabetes,avail blur breakdown byproduct extrem fat fatigu frequent gum happen heal hunger increas infect insulin irrit keton loss muscl presenc skin slow sore thirst unexplain urin vagin vision weight
celiac disease,abdomin anemia balanc blisteri bloat bone cognit constip defici densiti dermat diarrhea fatigu feet function gas hand headach herpetiformi hyposplen impair includ injuri iron itchi joint loss mouth nausea nervous numb osteomalacia osteoporosi pain possibl problem rash reduc skin soften spleen system tingl ulcer usual vomit weight
salmonella infection,abdomin blood chill cramp diarrhea fever headach nausea stool vomit
gastroesophageal reflux disease (gerd),asthma burn chest chronic cough difficulti disrupt eat food heartburn laryng liquid lump new night pain regurgit sensat sleep sour swallow throat usual wors worsen
solitary rectal ulcer syndrome,bleed bowel constip fecal feel full incomplet incontin movement mucus pain pass pelvi rectal rectum stool strain
polycystic kidney disease,abdomen blood enlarg failur feel full headach high increas infect kidney pain pressur size stone tract urin urinari
antiphospholipid syndrome,antiphospholipid appear attack bleed block blood brain cardiovascular caus cell chronic clot complic damag danger decreas deliveri dementia develop diseas dvt embol episod factor flow gum headach heart high includ ischem known laci last leg like lung migrain minut miscarriag need net neurolog nose occur pain part particular patch pattern peopl perman person possibl preeclampsia pregnanc prematur pressur pulmonari rash red repeat risk seizur sign similar skin small spot stillbirth stroke swell symptom syndrom tia transient travel usual valv young
pilonidal cyst,blood drain drainag foul open pain pus redden skin smell
alcohol poisoning,abl affect alcohol assum awak awaken blue bodi breath choke confus conscious drank emerg gag gap head help hospit hypothermia immedi inform irregular kind know leav lie local loss low minut number pale pass person personnel poison prepar prevent provid reflex second seizur sit skin sleep slow sure tell temperatur ting tri turn unconsci vomit wait way work
delayed ejaculation,acquir certain circumst delay ejacul function general kind lifelong limit matur normal occur partner period present problem sex sexual situat stimul time
functional dyspepsia,abdomen antacid belch bloat burn chest discomfort earli eat feel food full lower nausea reliev sensat upper
de quervain's tenosynovitis,base difficulti grasp involv move near pain pinch sensat stick stop swell thumb wrist
earwax blockage,affect cough decreas dizzi ear earach feel full hear nois ring tinnitus
snoring,attent awaken behavior blood breath chest children choke concentr daytim difficulti disrupt excess gasp headach high issu loud morn night pain partner paus perform poor pressur restless school sleep sleepi snore sore span throat wit
uterine polyps,bleed exampl excess frequent have heavi infertil irregular length menopaus menstrual period unpredict vagin variabl
polymorphous light eruption,accompani blister bump burn cluster dens fever itch pain patch rais red rough small widespread
laryngitis,cough dri hoars loss raw sensat sore throat tickl voic weak
ramsay hunt syndrome,affect blister chang close difficulti dri ear eye facial fill fluid hear loss mouth move pain paralysi percept rash red ring sensat spin tast tinnitus vertigo weak
melanoma,chang develop exist growth look mole new pigment skin unusu
shaken baby syndrome,awak bluish breath coma difficulti eat extrem fussi irrit pale paralysi poor problem seizur skin stay vomit
systemic capillary leak syndrome,abdomin ach bodi fatigu increas irrit muscl nausea pain sudden thirst weight
rotator cuff injury,accompani ach arm comb deep describ difficult disturb dull hair reach shoulder sleep weak
dizziness,balanc faint fals feel float headed heavi lightheaded loss motion sens spin unsteadi vertigo woozi
ewing sarcoma,affect area bone caus fever known lose near pain swell tender tired tri unexplain weight
contact dermatitis,blister bump burn crack crust dri itch ooz rash red scali sever skin swell tender
postpartum preeclampsia,abdomin blood blur chang decreas excess greater headach high hypertens includ light loss mercuri millimet pain pressur protein proteinuria rib right sensit sever temporari upper urin usual vision
gangrene,affect black blister blood blue breath bronz clear cold confus cool damag depend discharg discolor feel fever fill fluid follow format foul gangren general grade hair healthi heart leak lightheaded line low lower normal numb pain pale possibl pressur purpl rang rapid rate red run sever shini short skin smell sore sudden swell swollen temperatur thin tissu touch type unwel
diphtheria,breath chill cover difficulti discharg enlarg fever gland gray hoars lymph malais membran nasal neck node rapid sore swollen thick throat tonsil
arthritis,decreas motion pain rang red stiff swell
vocal cord paralysis,breath breathi choke clear cough drink food frequent gag hoars inabl ineffect loss loud need noisi pitch qualiti reflex saliva speak swallow throat vocal voic
drug allergy,breath eye fever hive itch itchi nose rash runni short skin swell wateri wheez
trigger finger,affect base bent bump catch click finger lock morn nodul palm particular pop posit sensat stiff straight straighten sudden tender unabl
cyclospora infection,ach activ altern appetit better bloat bout burp constip cramp diarrhea fatigu feel fever flatul frequent general gotten infect long loss malais muscl nausea stomach symptom unwel vomit wateri weight
bladder stones,abdomin abnorm blood cloudi color dark difficulti flow frequent interrupt lower pain urin
bell's palsy,affect chang close day difficulti drool droop ear express eye face facial headach hour increas jaw loss make mild occur onset pain paralysi produc rapid saliva sensit smile sound tast tear total weak
secondary hypertension,age blood control diastol famili high histori hypertens longer medic mercuri millimet obes onset pressur previous resist respond sudden systol
costochondritis,ach affect breastbon breath cough deep left like occur pressur rib sharp worsen
asbestosis,appear appetit breath chest club cough dri fingertip loss normal pain persist rounder short tight toe weight wider
pseudogout,pain sever swollen warm
dislocated shoulder,bruis deform inabl intens joint pain place shoulder swell visibl
iritis,achi affect decreas discomfort eye light red sensit vision
jellyfish stings,affect age arm breath brown burn children confus contact difficulti drowsi expos faint headach health heart itch jellyfish leg like long muscl nausea pain peopl poor prickl print problem purplish radiat reaction red sever size skin spasm sting stinger stomach swell tentacl throb track type vomit weak
compulsive gambling,amount anxieti ask away bail chase constant control cut depress escap extent famili feel financi fraud gambl guilt helpless hide import increas irrit jeopard job lie lose loss lost member money need opportun plan preoccupi problem relationship reliev resort restless school stop success theft thrill tri troubl work
self-injury/cutting,accident area behavior bite bruis burn creat cut difficulti emot excess frequent fresh hand helpless hopeless hot impuls injuri instabl interperson keep long mark object pant pattern relationship report rub scar scratch sharp sleev statement unpredict wear weather worthless wound
vitamin deficiency anemia,breath chang confus dizzi fatigu feet forget hand heartbeat irregular loss mental movement muscl numb pale person short skin tingl unsteadi weak weight yellowish
aphasia,convers incomplet peopl sens sentenc short sound speak substitut understand unrecogniz word write
hereditary hemorrhagic telangiectasia,anemia basi breath childhood daili defici face fingertip headach insid iron laci lip mouth noseble particular red seizur short spot start surfac tini tongu vessel
enlarged breasts in men (gynecomastia),breast swollen tender tissu
mittelschmerz,abdomen accompani achi bleed cramp discharg dull lower menstrual rare sever sharp similar slight sudden vagin
limited scleroderma,acid affect allow arm bend block blood blue bone bump calcinosi calcium caus chang cold common condit connect deposit develop difficult difficulti elbow emot esophag esophagus face feel finger flow function hand harden heartburn includ infect inflamm knee lead leg limit line look lower main mouth muscl near neck numb occur open pain peopl phenomena poor primarili problem pull raynaud red respons scar scleroderma shini skin small spasm spot stomach stress surfac swallow swell taut telangiectasia tender tight tini tissu toe tube turn typic under upper vessel white
burns,affect area beneath black blister brown burn caus deep degre dermi destroy develop epidermi fat layer leatheri look minor nerv numb outer pain reach red scar second sever skin splotchi swell type white
heart murmurs,activ appear appetit blue breath chest chronic cough dizzi enlarg especi failur faint fingertip gain grow heavi infant lip littl liver neck normal pain poor short skin sudden sweat swell vein weight
herniated disk,abil affect arm bodi burn buttock calf caus certain cough describ disk feel foot herniat hold item leg lift lower muscl neck nerv numb pain peopl posit radiat serv sharp shoot shoulder sneez stumbl tend thigh tingl typic weak weaken
dissociative disorders,action altern amnesia anxieti area away behavior blur certain character characterist combat come complet condit confus cope deperson depress dereal detach differ disord dissoci distanc distort distress dreamlik emot episod especi event experi explain eyeglass familiar feel foggi forget fugu gender head health histori hour ident import inabl includ inform insid intens involv known life live loss main manner medic memori mental minut moment month movi multipl need normal observ obvious occur ongo outsid peopl percept period person physic possess presenc problem profession profound qualiti rare recal relationship self sens sever signific slow specif sped stress sudden suicid switch symptom talk thing thought time traumat travel typic uniqu unreal usual voic wander watch work world year
hpv infection,anus appear area ball beard bleed bump case cauliflow caus cervix children common discomfort face feet finger flat genit graini growth hand hard heel injuri leg lesion like men near occur pain plantar protrus rais rough simpli slight small stemlik suscept tend tini top unsight usual vagina vulva wart women
post-traumatic stress disorder (ptsd),activ aggress angri appoint aspect avoid behavior close communiti concentr contact counselor crisi danger destruct detach difficulti distress doctor dream drink drive easili emot enact enjoy event experienc faith famili fast feel flashback friend frighten futur guard guilt happen health hopeless hotlin import includ interest irrit lack leader lifelin line love maintain memori mental minist nation negat nightmar numb number outburst overwhelm peopl physic place play posit press prevent problem profession reach reaction recurr relationship reliv rememb remind self sever shame sleep spiritu startl state suicid talk think thought train traumat tri troubl unit unwant upset use veteran world
common cold,ach bodi congest cough feel fever general grade headach low malais mild nose runni slight sneez sore stuffi throat unwel
liposarcoma,abdomin affect blood constip eat feel grow limb lump pain skin sooner stool swell tissu weak
histoplasmosis,ach chest chill cough discomfort dri fatigu fever headach muscl
mental illness,abil activ alcohol anger chang concentr confus cope daili delus detach drive drug eat energi excess extrem fear feel friend guilt habit hallucin high hostil inabl low major mood paranoia peopl problem realiti reduc relat sad sex signific situat sleep stress suicid think tired troubl understand use violenc withdraw worri
hairy cell leukemia,abdomen bruis easi eat fatigu feel full infect littl loss recur time uncomfort weak weight
spontaneous coronary artery dissection (scad),arm breath chest dizzi extrem feel flutteri heartbeat jaw nausea pain rapid short shoulder sweat tired unusu
mastitis,breast burn continu feed feel fever general greater ill lump pain pattern red sensat shape skin swell tender thicken tissu touch warmth wedg
mesothelioma,abdomin breath chest cough loss lump nausea pain short skin swell tissu unexplain unusu weight
farsightedness,ach appear blurri burn clear close comput discomfort draw eye eyestrain general headach includ nearbi need object read squint task time work write
lewy body dementia,act affect alzheim anim apathi asleep attent auditori autonom behavior blood bodi bowel caus cognit confus constip cours day dementia depress difficulti digest diseas disord disorgan dizzi dream drowsi episod experi eye fall fluctuat function hallucin ill includ issu lewi long loss memori motiv movement muscl nap nervous occur olfactori parkinson parkinsonian peopl period physic poor possibl pressur problem process puls rapid recur regul rem result rigid see shape shuffl sign similar sleep slow smell sound space spatial speech stare sweat symptom system tactil think touch tremor visual walk
hodgkin's lymphoma (hodgkin's disease),alcohol armpit drink effect fatigu fever groin increas itch loss lymph neck night node pain painless persist sensit sever sweat swell unexplain weight
ulcerative colitis,abdomin bleed blood children cramp defec despit diarrhea failur fatigu fever grow inabl loss pain pass pus rectal small stool urgenc weight
peripheral neuropathy,abl activ affect arm autonom bladder blanket blood bowel burn caus chang control coordin digest dizzi excess extrem fall feel feet function glove gradual hand heart heat intoler jab lack leg lightheaded motor movement muscl nerv numb onset pain paralysi pressur prickl problem put rate receiv sensat sensit sensori sharp skin sock spread sweat temperatur throb tingl touch upward vibrat weak wear weight
periodontitis,away bad bite bleed blood breath bright brush chang chew develop duski easili feel fit floss gum longer look loos loss make new normal pain pink puffi pull purplish pus reced red space spit swollen teeth tender ting toothbrush touch way
hyperthyroidism (overactive thyroid),anxieti appear appetit arrhythmia base beat bowel brittl chang common difficulti enlarg especi fatigu fine finger food frequent gland goiter hair hand heart heartbeat heat increas intak irregular irrit loss menstrual minut movement muscl neck nervous palpit pattern pound rapid sensit skin sleep stay sweat swell tachycardia thin thyroid trembl tremor unintent usual weak weight
ichthyosis vulgaris,brown color crack darker deep dirti dri flaki gray like pain scale scali scalp skin small tile typic white
anaphylaxis,airway blood breath caus constrict diarrhea dizzi faint flush hive hypotens includ itch low nausea pale pressur puls rapid reaction skin swollen throat tongu troubl vomit weak wheez
liver disease,abdomin ankl appear appetit bruis chronic color dark easili eye fatigu itchi jaundic leg loss nausea pain pale skin stool swell tendenc urin vomit yellowish
cradle cap,cover crust dri flake flaki mild oili patchi possibl red scale scalp skin thick white yellow
heart arrhythmia,anxieti bradycardia breath chest dizzi faint fatigu flutter heartbeat lightheaded near pain race short slow sweat syncop tachycardia
primary lateral sclerosis (pls),arm balanc breath clumsi difficulti diseas drool facial hand hoars jaw late leg muscl occasion progress slow slur spasm spastic speech start stiff swallow tongu trip trunk weak weaken
bile reflux,abdomin bile burn chest cough fluid frequent greenish heartburn hoars loss mouth nausea occasion pain sensat sever sour spread tast throat unintend upper vomit weight yellow
soft tissue sarcoma,lump muscl nerv notic pain press swell tumor
bipolar disorder,alcohol bipolar break case certain children condit cush cyclothym depress diseas disord drug episod exampl follow hypoman hypomania includ induc major mania manic medic multipl period preced psychosi realiti relat sclerosi sever stroke symptom teenag trigger type year
head lice,activ allerg avoid bacteria bite bump color common difficult ear easier easiest egg hair hairlin incub indic infect infest itch lead lice light lighter lous necessarili neck nit occur person presenc quick reaction red scalp scratch shaft shoulder small sore spot stick symptom time tini visibl week
acute liver failure,abdomen abdomin ascit breath confus disorient eyebal feel general jaundic malais musti nausea odor pain right sens skin sleepi sweet swell tremor unwel upper vomit yellow
paget's disease of the breast,areola bloodi breast burn color crusti discharg eczema flaki flatten harden invert itch lump nippl ooz red resembl scali sensat skin straw thicken tingl turn
kidney infection,abdomin bad blood burn chill cloudi fever flank frequent groin hematuria nausea pain persist pus sensat smell strong urg urin vomit
broken collarbone,arm birth bruis bulg children collarbon crackl day follow fractur grind inabl increas movement near newborn pain relat shoulder sound stiff swell tender tri
trichotillomania (hair-pulling disorder),accompani anxieti area automat bald bite bodi bore boredom chew continu deal develop distress eat elabor emot exampl eyebrow eyelash face fatigu feel find focus frustrat hair includ increas intent lip loneli loss maintain measur miss negat notic overwhelm pattern peopl play pleasur posit prefer problem provid pull read realiz relat relief reliev repeat resist result right ritual rub satisfi scalp school sens shorten signific site situat social spars specif stop stress success tension thin time tri trichotillomania type typic uncomfort urg vari watch way work
mammary duct ectasia,areola areolar black breast clog dirti discharg duct greenish invert inward lump near nippl red surround tender thicken tissu turn white
thrombophlebitis,affect area pain red swell tender warmth
kleptomania,acquaint addict afford anxieti arous arrest avail away buy care collabor come compuls concern cours cycl damag dare donat episod famili fear feel friend gain general given gratif greater guilt health help inabl increas intens item job kleptomania lead lesser live loath lose love mind minim need occur parti peopl person place plan pleasur power public put rebellion relationship relief remors repetit resist return reveng risk secret self shame shoplift simpli spontan stash steal stolen store strong supermarket tension terribl theft time treatment typic understand unlik urg usual valu worri
separated shoulder,arm bruis bump limit movement pain shoulder swell weak
